"id,location,num_lanes,is_oneway"
"4115,CONSILIUM PL AT CORPORATE DR (PX 1501)"
"4116,BUDE ST AT OAKWOOD AVE"
"4117,OVERLEA BLVD AT THORNCLIFFE PARK DR & E TCS (PX 679)"
"4118,OVERLEA BLVD #42 AT EAST YORK TOWN CENTRE (PX 1834)"
"4119,BELLAMY RD N AT BRIMORTON DR (PX 1017)"
"4120,EGLINTON AVE AT W R ALLEN RD W TCS (PX 772)"
"4121,EGLINTON AVE AT W R ALLEN RD E TCS (PX 1307)"
"4123,DUFFERIN ST AT OVERBROOK PL & STEEPROCK DR (PX 1234)"
"4124,KING ST AT STRACHAN AVE (PX 538)"
"4125,QUEEN ST AT STRACHAN AVE (PX 1332)"
"4126,EGLINTON AVE AT PHARMACY AVE (PX 452)"
"4127,EGLINTON AVE AT FALMOUTH AVE & GILDER DR (PX 217)"
"4129,ST DENNIS DR AT WYNFORD DR & EGLINTON E/B ON RAMP S TCS (PX 1462)"
"4130,ST DENNIS DR AT WYNFORD DR & ON RAMP TO EGLINTON E/B (PX 1464)"
"4131,EGLINTON AVE AT REDPATH AVE (PX 93)"
"4132,EGLINTON AVE AT FORMAN AVE (PX 220)"
"4134,EGLINTON AVE W AT RENFORTH DR (PX 926)"
"4135,BATHURST ST AT DAVENPORT RD (PX 384)"
"4136,BATHURST ST AT RICHMOND ST (PX 298)"
"4137,BATHURST ST AT QUEENS QUAY (PX 1593)"
"4138,BATHURST ST AT LAKE SHORE BLVD (PX 216)"
"4139,BATHURST ST AT KING ST (PX 201)"
"4140,ADELAIDE ST AT BATHURST ST (PX 1883)"
"4141,BATHURST ST AT CARR ST & ROBINSON ST (PX 1808)"
"4142,BATHURST ST AT DUPONT ST (PX 305)"
"4143,BATHURST ST AT ST CLAIR AVE (PX 480)"
"4144,AVA RD AT BATHURST ST (PX 505)"
"4145,BATHURST ST AT EGLINTON AVE (PX 100)"
"4146,BATHURST ST AT CARIBOU RD & DELLPARK AVE (PX 2133)"
"4148,# 4600 BATHURST ST AT YMHA 335M S OF ELLERSLIE (PX 673)"
"4149,BATHURST ST AT COCKSFIELD AVE"
"4150,BATHURST ST AT FINCH AVE W (PX 675)"
"4152,NINTH LINE AT STEELES AVE (PX 1979)"
"4153,LAWRENCE AVE AT MARKHAM RD (PX 420)"
"4154,MARKHAM RD AT PROGRESS AVE & PROGRESS CRT (PX 878)"
"4155,MARKHAM RD AT SHEPPARD AVE (PX 701)"
"4156,FINCH AVE AT MARKHAM RD (PX 1257)"
"4157,MARKHAM RD AT NASHDENE RD (PX 1620)"
"4158,MARKHAM RD AT STEELES AVE (PX 1583)"
"4159,KING ST AT PORTLAND ST (PX 1225)"
"4160,AUGUSTA AVE AT QUEEN ST (PX 552)"
"4161,LAKE SHORE BLVD AT LOWER SPADINA AVE & SPADINA AVE (PX 215)"
"4162,FRONT ST AT SPADINA AVE (PX 272)"
"4163,ADELAIDE ST AT SPADINA AVE (PX 274)"
"4164,CAMDEN ST AT SPADINA AVE"
"4165,RICHMOND ST AT SPADINA AVE (PX 275)"
"4166,SPADINA AVE AT SULLIVAN ST (PX 1335)"
"4167,DUNDAS ST AT SPADINA AVE (PX 277)"
"4168,SPADINA AVE AT ST ANDREWS ST (PX 1146)"
"4169,NASSAU ST AT SPADINA AVE (PX 278)"
"4170,COLLEGE ST AT SPADINA AVE (PX 279)"
"4171,RUSSELL ST AT SPADINA CRES (EAST LEG)"
"4172,SPADINA AVE AT WILLCOCKS ST (PX 1761)"
"4173,HARBORD ST AT SPADINA AVE (PX 280)"
"4174,SPADINA AVE AT SUSSEX AVE (PX 1760)"
"4175,BLOOR ST AT SPADINA AVE & SPADINA RD (PX 281)"
"4176,LOWER SPADINA AVE AT QUEENS QUAY (PX 2410)"
"4177,KING ST AT SPADINA AVE (PX 273)"
"4178,DAVENPORT RD AT SPADINA RD (PX 1023)"
"4179,QUEEN ST AT SPADINA AVE (PX 276)"
"4180,DUPONT ST AT SPADINA RD (PX 840)"
"4181,EMMETT AVE AT YORK HUMBER HS"
"4182,HARBORD ST AT HURON ST (PX 1145)"
"4184,BLUE JAYS WAY AT WELLINGTON ST (PX 1682)"
"4185,BLUE JAYS WAY AT FRONT ST (PX 1580)"
"4186,TAPSCOTT RD AT WASHBURN WAY & MALVERN TOWN CENTRE (PX 1708)"
"4187,JOHN ST AT KING ST (PX 1320)"
"4188,KING ST AT SIMCOE ST (PX 199)"
"4190,AVENUE RD AT ROXBOROUGH ST"
"4191,AVENUE RD AT MACPHERSON AVE (NORTH INTERSECTION)"
"4192,AVENUE RD AT ST CLAIR AVE (PX 112)"
"4193,AVENUE RD AT HEATH ST (PX 603)"
"4194,AVENUE RD AT LYTTON BLVD (PX 1769)"
"4197,QUEENS PARK CRES AT QUEENS PARK RD (PX 227)"
"4198,ADELAIDE ST AT UNIVERSITY AVE (PX 78)"
"4199,ARMOURY ST AT UNIVERSITY AVE (PX 166)"
"4200,DUNDAS ST AT UNIVERSITY AVE (PX 81)"
"4201,GERRARD ST AT UNIVERSITY AVE (PX 1608)"
"4202,FRONT ST AT UNIVERSITY AVE & YORK ST (PX 75)"
"4203,BEECROFT RD AT ELMHURST AVE (PX 1783)"
"4205,KING ST AT YORK ST (PX 72)"
"4206,ELIZABETH ST AT GERRARD ST (PX 1358)"
"4207,BAY ST AT HARBOUR SQ & QUEENS QUAY (PX 2416)"
"4208,BAY ST AT FRONT ST (PX 59)"
"4209,BAY ST AT KING ST (PX 61)"
"4210,BAY ST AT ELM ST (PX 913)"
"4211,BAY ST AT GROSVENOR ST (PX 193)"
"4212,BAY ST AT YORKVILLE AVE (PX 895)"
"4213,LAWRENCE AVE AT PHARMACY AVE (PX 408)"
"4214,BIRCHMOUNT RD AT LAWRENCE AVE (PX 410)"
"4215,LAWRENCE AVE AT CEDARBRAE MALL W TCS 245M E OF GREENBRAE(PX 1006)"
"4217,GREENBRAE CRCT AT GREENCEDAR CRCT & LAWRENCE AVE (PX 419)"
"4220,CROW TRL AT NEILSON RD (PX 1728)"
"4221,LIVONIA PL AT NEILSON RD & PURPLEDUSK TRL (PX 1778)"
"4222,HIGHWAY 401 S TCS AT LORD SEATON RD & YONGE ST (PX 1259)"
"4223,WILLIAM CARSON CRES AT YONGE ST (PX 508)"
"4224,QUEENS QUAY AT YONGE ST (PX 1588)"
"4225,AYLMER AVE AT BELMONT ST & YONGE ST (PX 42)"
