location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4082,KANE AVE AT LAVENDER RD & OLD WESTON RD (PX 1605),-79.4665,43.6806,2,13461848,1605,25313,########
4083,OLD WESTON RD AT ROCKWELL AVE,-79.4639,43.67657,2,13462566,,35441,########
4084,CALEDONIA RD AT TYCOS DR,-79.4645,43.70323,2,13457821,,7036,########
4085,COLBECK ST AT RUNNYMEDE RD,-79.4778,43.65476,2,13466171,,35667,########
4086,BURNHAMTHORPE RD AT THE WEST MALL (PX 875),-79.5672,43.64455,2,13467918,875,35015,########
4087,BOTFIELD AVE AT BURNHAMTHORPE RD,-79.5422,43.65038,2,13467043,,37957,########
4088,BURNHAMTHORPE RD AT ECHO VALLEY RD,-79.5424,43.65033,2,13467049,,8828,########
4089,DUPONT ST AT HURON ST,-79.4048,43.67536,2,13462638,2509,35981,########
4090,BRIMLEY RD AT CITADEL DR & GRAYLEE AVE,-79.2506,43.74217,2,13451260,,22323,########
4091,BRIMLEY RD AT GOLDEN GATE CT & OMNI DR (PX 1826),-79.2619,43.77195,2,13446880,1826,33445,########
4092,DAVENPORT RD AT LANSDOWNE AVE (PX 389),-79.4483,43.67156,2,13463350,389,37437,########
4093,CHESSWOOD DR AT STEEPROCK DR (PX 1513),-79.4751,43.75722,2,13449421,1513,34305,########
4094,ALNESS ST AT MARTINROSS AVE (PX 1773),-79.4734,43.77428,2,13446969,1773,23589,3/9/2009
4095,ALNESS ST AT SUPERTEST RD (PX 1774),-79.4745,43.77681,2,13446617,1774,23629,3/3/2009
4096,PENGELLY CRT AT ST CLAIR AVE,-79.2756,43.71327,2,13455734,,22501,########
4097,GUNNS RD AT ST CLAIR AVE (PX 1404),-79.4711,43.67178,2,13463362,1404,31981,########
4098,LAUGHTON AVE AT ST CLAIR AVE (PX 1087),-79.4576,43.67472,2,13462870,1087,32005,########
4099,GLENHOLME AVE AT ST CLAIR AVE (PX 1712),-79.4386,43.67895,2,13462068,1712,36929,########
4101,DAVENPORT RD AT DUFFERIN ST (PX 388),-79.441,43.67299,2,13463123,388,34041,########
4102,DANE AVE AT DUFFERIN ST,-79.4552,43.71616,2,13455685,,40611,3/4/2020
4103,DUFFERIN ST AT ST CLAIR AVE (PX 488),-79.4431,43.67796,2,13462285,488,37101,4/3/2018
4104,DUFFERIN ST AT TYCOS DR,-79.4529,43.70577,2,13457350,,9858,########
4105,DUFFERIN ST AT SAMOR RD (PX 1792),-79.4557,43.71826,2,13455354,1792,33621,########
4106,DUFFERIN ST AT FINCH AVE (PX 618),-79.4669,43.76885,2,13447779,618,34855,########
4107,DUFFERIN ST AT STEELES AVE (PX 619),-79.4701,43.78728,2,13445306,619,34825,########
4108,CATHEDRAL BLUFFS DR AT KINGSTON RD & MCCOWAN (PX 149),-79.2324,43.72514,2,13453920,149,24531,########
4109,BRIMORTON DR AT MCCOWAN RD (PX 951),-79.249,43.76542,2,13447827,951,32323,########
4110,LAWRENCE AVE AT MCCOWAN RD (PX 380),-79.2454,43.75555,2,13449204,380,40263,########
4111,MCCOWAN RD AT MELDAZY DR,-79.2482,43.76348,2,13448102,,7063,########
4112,CHANNEL NINE CRT AT MCCOWAN RD & MILNER AVE (PX 1175),-79.2565,43.78538,2,13445175,1175,32319,########
4113,MCCOWAN RD AT SHEPPARD AVE (PX 938),-79.2588,43.78962,2,13444619,938,39547,########
4114,MCCOWAN RD AT 210M S OF ALTON TOWERS CIR N PED TCS (PX 1711),-79.2751,43.82508,1,14668493,1711,32271,5/4/2015
4115,CONSILIUM PL AT CORPORATE DR (PX 1501),-79.2512,43.77968,2,13445842,1501,33203,########
4116,BUDE ST AT OAKWOOD AVE,-79.4415,43.6942,2,13459314,,7068,########
4117,OVERLEA BLVD AT THORNCLIFFE PARK DR & E TCS (PX 679),-79.3436,43.70747,2,13456854,679,38661,########
4118,OVERLEA BLVD #42 AT EAST YORK TOWN CENTRE (PX 1834),-79.3457,43.70703,1,649,1834,38873,########
4119,BELLAMY RD N AT BRIMORTON DR (PX 1017),-79.2392,43.76745,2,13447492,1017,34213,########
4120,EGLINTON AVE AT W R ALLEN RD W TCS (PX 772),-79.4365,43.69868,2,13458434,772,29429,########
